geographic_area,city,median_income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,count
AL,Abbeville,25615.0,69.1,29.1,54.4,41.4,0.1,1.0,3.1,1
AL,Arab,40292.0,87.6,16.7,96.6,0.1,0.6,0.7,1.7,1
AL,Ashville,40547.0,77.6,28.3,75.8,20.3,0.2,0.3,3.8,1
AL,Bay Minette,31576.0,79.1,26.3,60.4,35.3,1.0,0.8,1.8,1
AL,Birmingham,31061.0,85.1,30.9,22.3,73.4,0.2,1.0,3.6,3
AL,Clanton,39823.0,76.8,16.9,74.9,19.1,0.3,0.6,6.0,2
AL,Clay,68717.0,92.2,6.6,84.1,13.3,0.3,0.6,1.3,1
AL,Dadeville,29368.0,73.7,28.8,50.2,47.5,0.3,0.6,0.9,1
AL,Deer Park,,86.3,28.1,31.9,66.5,0.0,0.0,1.6,1
AL,Eufaula,32845.0,81.5,25.3,51.0,44.6,0.5,0.6,4.3,1
AL,Gadsden,29136.0,78.3,29.4,57.3,36.3,0.4,0.6,5.4,1
AL,Homewood,61626.0,93.5,12.7,74.6,17.3,0.2,2.2,7.3,2
AL,Hoover,77146.0,95.2,6.0,75.1,14.8,0.2,5.1,6.0,1
AL,Huntsville,48775.0,90.2,18.2,60.3,31.2,0.6,2.4,5.8,4
AL,Meridianville,68368.0,86.6,15.4,76.3,18.5,0.7,1.7,2.7,1
AL,Millbrook,58330.0,91.3,11.6,74.2,21.6,0.4,0.8,2.8,1
AL,Mobile,38776.0,86.9,23.3,45.0,50.6,0.3,1.8,2.4,1
AL,Monroeville,30678.0,82.3,36.7,42.1,55.7,0.3,0.3,0.8,1
AL,Montgomery,42927.0,85.5,24.1,37.3,56.6,0.2,2.2,3.9,1
AL,Muscle Shoals,48896.0,88.7,10.7,80.6,15.3,0.3,0.9,2.7,1
AL,Opelika,40489.0,83.7,23.0,50.6,43.5,0.3,1.7,4.4,1
AL,Opp,34695.0,77.4,25.9,80.9,16.7,0.6,0.3,0.9,1
AL,Oxford,51375.0,83.5,11.7,80.5,12.6,0.4,1.1,6.6,1
AL,Phenix City,36698.0,84.8,21.0,48.7,46.6,0.3,0.7,4.0,4
AL,Piedmont,28884.0,76.8,25.6,87.0,10.0,0.5,0.1,1.3,1
AL,Rainbow City,49338.0,92.5,17.7,87.4,7.2,0.4,2.6,2.4,1
AL,Saraland,52621.0,85.4,11.2,83.7,12.0,0.8,0.6,2.5,1
AL,Selma,22414.0,77.8,41.9,18.0,80.3,0.2,0.6,0.6,1
AL,Sylacauga,33407.0,82.5,29.8,66.6,30.2,0.4,0.5,2.3,1
AL,Tuscaloosa,39351.0,87.3,25.1,53.8,41.5,0.2,1.8,3.0,1
AL,Tuscumbia,41176.0,86.2,15.3,75.9,21.2,0.4,0.3,1.4,1
AL,Westover,58906.0,85.2,13.4,93.6,2.5,0.9,0.5,2.3,1
AK,Anchorage,78326.0,93.0,8.2,66.0,5.6,7.9,8.1,7.6,3
AK,Barrow,76902.0,84.6,11.7,16.9,1.0,61.2,9.1,3.1,1
AK,Big Lake,70988.0,90.4,9.6,86.1,0.2,7.0,0.5,3.1,1
AK,Fairbanks,55229.0,91.2,13.1,66.1,9.0,10.0,3.6,9.0,5
AK,Houston,50438.0,90.2,14.8,82.2,0.4,6.7,0.6,3.3,1
AK,Wasilla,61541.0,91.8,11.7,83.4,1.4,5.2,2.1,4.3,2
AZ,Apache Junction,35671.0,85.5,24.0,89.5,1.2,1.1,0.8,14.4,2
AZ,Avondale,55100.0,79.0,18.6,58.1,9.3,1.7,3.5,50.3,3
AZ,Bisbee,31010.0,87.3,29.1,84.2,1.4,1.5,0.5,36.2,1
AZ,Buckeye,58939.0,84.3,14.8,65.7,7.1,1.8,1.8,38.3,1
AZ,Bullhead City,35948.0,82.7,19.7,81.9,1.3,1.1,1.4,23.7,1
AZ,Casa Grande,44348.0,86.4,16.9,67.3,4.6,4.6,1.8,39.0,1
AZ,Chandler,72695.0,91.5,10.0,73.3,4.8,1.5,8.2,21.9,2
AZ,Cottonwood,41875.0,84.6,9.6,0.4,0.0,99.6,0.0,0.0,2
AZ,Cottonwood,36440.0,84.9,19.9,83.6,0.8,1.8,0.9,22.8,2
AZ,Eagar,50675.0,89.2,18.0,87.8,0.6,3.4,0.2,18.8,3
AZ,Flagstaff,48680.0,91.3,24.2,73.4,1.9,11.7,1.9,18.4,3
AZ,Florence,47891.0,75.6,16.8,63.4,6.3,14.4,0.9,31.2,1
AZ,Gilbert,82424.0,95.6,6.6,81.8,3.4,0.8,5.8,14.9,2
AZ,Glendale,46776.0,83.6,21.7,67.8,6.0,1.7,3.9,35.5,7
AZ,Golden Shores,29118.0,77.9,7.4,94.2,0.3,1.0,0.3,7.7,1
AZ,Golden Valley,33639.0,81.6,25.1,90.9,0.5,1.5,0.9,10.5,1
AZ,Goodyear,70323.0,92.1,8.8,71.9,6.7,1.3,4.3,27.8,1
AZ,Kearny,43563.0,87.7,21.2,83.2,0.5,0.8,0.4,41.6,1
AZ,Kingman,43246.0,87.0,20.7,88.0,1.0,1.7,1.7,12.5,5
AZ,Lake Havasu City,42847.0,88.5,13.8,90.1,0.7,1.0,1.0,12.1,1
AZ,Marana,74438.0,94.1,5.8,82.0,2.5,1.2,3.8,22.1,1
AZ,Maricopa,65793.0,91.7,8.1,70.2,9.7,2.0,4.1,24.4,1
AZ,Mesa,48809.0,87.5,16.5,77.1,3.5,2.4,1.9,26.4,6
AZ,Morenci,65706.0,94.3,6.8,70.7,2.4,2.9,0.7,53.1,1
AZ,Parker,43271.0,80.4,15.4,44.4,1.4,20.6,0.8,41.9,1
AZ,Phoenix,47326.0,80.7,23.1,65.9,6.5,2.2,3.2,40.8,31
AZ,Pima,47277.0,87.8,22.5,87.4,0.4,0.6,0.1,20.9,1
AZ,Prescott,44846.0,92.8,15.5,92.1,0.7,1.1,1.2,8.6,2
AZ,San Manuel,43629.0,87.2,17.1,78.1,0.8,2.4,0.5,49.9,1
AZ,Scottsdale,73288.0,96.2,9.5,89.3,1.7,0.8,3.3,8.8,3
AZ,Show Low,42614.0,88.7,18.4,87.6,0.4,4.1,0.8,12.8,1
AZ,Sierra Vista,59091.0,93.2,12.7,74.5,9.0,1.1,4.1,19.4,1
AZ,Somerton,31540.0,51.0,31.5,64.4,0.9,0.8,0.4,95.9,1
AZ,Sun City,36365.0,91.0,8.4,96.5,1.4,0.2,0.7,2.8,2
AZ,Surprise,59916.0,92.9,9.8,80.6,5.1,0.7,2.6,18.5,1
AZ,Tempe,49012.0,91.7,21.6,72.6,5.9,2.9,5.7,21.1,6
AZ,Tucson,37149.0,84.2,25.3,69.7,5.0,2.7,2.9,41.6,14
AZ,Wilhoit,34167.0,80.1,24.0,94.2,0.2,0.7,0.2,9.3,1
AZ,Winslow,34211.0,79.6,30.1,53.4,5.7,25.7,1.0,32.8,1
AZ,Yuma,43754.0,77.5,18.4,68.8,3.2,1.8,1.9,54.8,1
AR,Austin,70652.0,95.9,7.7,94.2,2.0,0.3,0.4,4.3,1
AR,Benton,51778.0,87.0,11.4,88.8,6.0,0.5,0.9,4.5,2
AR,Bull Shoals,35737.0,93.4,13.9,97.5,0.1,0.4,0.3,1.4,1
AR,Cabot,57790.0,92.4,11.4,93.1,1.6,0.6,1.5,4.1,1
AR,Dover,33917.0,85.2,23.6,94.6,0.4,1.9,0.1,3.6,1
AR,England,31577.0,82.3,29.9,64.1,33.6,0.2,0.1,1.9,1
AR,Farmington,50609.0,92.3,11.4,90.2,1.2,1.1,1.2,5.9,1
AR,Fayetteville,39432.0,91.7,24.0,83.8,6.0,1.1,3.1,6.4,2
AR,Jonesboro,41688.0,89.1,23.7,74.7,18.4,0.4,1.5,5.2,1
AR,Little Rock,46085.0,90.7,17.8,48.9,42.3,0.4,2.7,6.8,4
AR,Manila,30114.0,80.7,32.6,96.4,0.5,0.3,0.1,2.9,1
AR,Marion,61669.0,89.3,10.9,68.1,28.0,0.4,1.5,2.0,1
AR,Mena,28509.0,88.8,18.5,94.4,0.2,1.6,0.8,3.4,1
AR,Mountain Pine,31333.0,69.4,25.0,74.2,20.4,1.2,0.5,3.2,1
AR,Perryville,37137.0,85.8,14.0,96.9,0.2,0.5,0.1,1.7,1
AR,Sheridan,45966.0,90.4,10.2,95.0,1.6,0.4,0.5,2.8,1
AR,Springdale,42319.0,71.7,23.3,64.7,1.8,1.0,2.0,35.4,1
AR,Strong,19931.0,74.4,23.0,31.5,60.8,0.2,0.2,8.2,1
AR,West Memphis,30627.0,80.6,30.9,34.4,63.5,0.2,0.4,1.6,1
CA,Aguanga,43505.0,81.1,7.0,82.4,1.0,1.8,2.1,24.3,1
